household,article_aligned,pv_mode,event_mode,grid,qe,qp,label,E_kWh,P_kW,g_pp,rho_pct,rho_pv_pct,dispatch_violation,is_pareto,is_frozen
id03,True,native,event_window,5x5,0.95,0.9,E95-P90,9.79,3.947,1.19982760269,1.64569659898,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.95,0.95,E95-P95,9.79,4.656,1.19982760269,1.64569659898,0.445868996289,0,False,False
id04,True,native,event_window,3x3,0.5,0.5,E50-P50,3.327,1.471,2.82957936135,3.30376813157,0.47418877022,1.11022302463e-16,True,True
id04,True,native,event_window,3x3,0.5,0.75,E50-P75,3.327,2.123,2.83936426906,3.31355303928,0.47418877022,1.11022302463e-16,True,False
id04,True,native,event_window,3x3,0.5,0.9,E50-P90,3.327,3.518,2.83936426906,3.31355303928,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,3x3,0.75,0.5,E75-P50,7.429,1.471,2.92094610283,3.39513487305,0.47418877022,1.11022302463e-16,True,True
id04,True,native,event_window,3x3,0.75,0.75,E75-P75,7.429,2.123,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,True,True
id04,True,native,event_window,3x3,0.75,0.9,E75-P90,7.429,3.518,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,3x3,0.9,0.5,E90-P50,11.329,1.471,2.92094610283,3.39513487305,0.47418877022,1.11022302463e-16,False,True
id04,True,native,event_window,3x3,0.9,0.75,E90-P75,11.329,2.123,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,3x3,0.9,0.9,E90-P90,11.329,3.518,2.9337314871,3.40792025732,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.25,0.25,E25-P25,0.056,0.023,0.0938424423247,0.568031212545,0.47418877022,8.67361737988e-19,True,True
id04,True,native,event_window,5x5,0.25,0.5,E25-P50,0.056,1.471,0.108047867191,0.582236637411,0.47418877022,6.93889390391e-18,True,False
id04,True,native,event_window,5x5,0.25,0.75,E25-P75,0.056,2.123,0.108047867191,0.582236637411,0.47418877022,6.93889390391e-18,False,False
id04,True,native,event_window,5x5,0.25,0.9,E25-P90,0.056,3.518,0.108047867191,0.582236637411,0.47418877022,6.93889390391e-18,False,False
id04,True,native,event_window,5x5,0.25,0.95,E25-P95,0.056,3.74,0.108047867191,0.582236637411,0.47418877022,6.93889390391e-18,False,False
id04,True,native,event_window,5x5,0.5,0.25,E50-P25,3.327,0.023,0.148929103188,0.623117873408,0.47418877022,8.67361737988e-19,True,True
id04,True,native,event_window,5x5,0.5,0.5,E50-P50,3.327,1.471,2.82957936135,3.30376813157,0.47418877022,1.11022302463e-16,True,False
id04,True,native,event_window,5x5,0.5,0.75,E50-P75,3.327,2.123,2.83936426906,3.31355303928,0.47418877022,1.11022302463e-16,True,True
id04,True,native,event_window,5x5,0.5,0.9,E50-P90,3.327,3.518,2.83936426906,3.31355303928,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.5,0.95,E50-P95,3.327,3.74,2.83936426906,3.31355303928,0.47418877022,1.11022302463e-16,False,False
id04,True,native,event_window,5x5,0.75,0.25,E75-P25,7.429,0.023,0.148929103188,0.623117873408,0.47418877022,8.67361737988e-19,False,True
