subset,pv_scale_mode,grid,qe,qp,label,E_kWh,P_kW,g_pp,rho_pct,rho_pv_pct,dispatch_violation,is_pareto,is_frozen
first4,native,5x5,0.95,0.95,E95-P95,114.007,18.279,1.86917624178,29.5181913104,27.6490150686,4.4408920985e-16,False,False
all9,energy_matched,3x3,0.5,0.5,E50-P50,70.364,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,True,True
all9,energy_matched,3x3,0.5,0.75,E50-P75,70.364,31.542,3.60229100789,43.1148764276,39.5125854197,2.22044604925e-16,True,False
all9,energy_matched,3x3,0.5,0.9,E50-P90,70.364,38.75,3.60229100789,43.1148764276,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,3x3,0.75,0.5,E75-P50,145.791,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,False,True
all9,energy_matched,3x3,0.75,0.75,E75-P75,145.791,31.542,3.71793743656,43.2305228563,39.5125854197,2.22044604925e-16,True,True
all9,energy_matched,3x3,0.75,0.9,E75-P90,145.791,38.75,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,True,False
all9,energy_matched,3x3,0.9,0.5,E90-P50,216.697,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,False,True
all9,energy_matched,3x3,0.9,0.75,E90-P75,216.697,31.542,3.71793743656,43.2305228563,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,3x3,0.9,0.9,E90-P90,216.697,38.75,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.25,0.25,E25-P25,10.759,5.385,1.82594512708,41.3385305468,39.5125854197,2.22044604925e-16,True,True
all9,energy_matched,5x5,0.25,0.5,E25-P50,10.759,19.975,1.89617501693,41.4087604366,39.5125854197,2.22044604925e-16,True,False
all9,energy_matched,5x5,0.25,0.75,E25-P75,10.759,31.542,1.89617501693,41.4087604366,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.25,0.9,E25-P90,10.759,38.75,1.89617501693,41.4087604366,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.25,0.95,E25-P95,10.759,42.072,1.89617501693,41.4087604366,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.5,0.25,E50-P25,70.364,5.385,2.18427487753,41.6968602972,39.5125854197,2.22044604925e-16,True,True
all9,energy_matched,5x5,0.5,0.5,E50-P50,70.364,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,True,False
all9,energy_matched,5x5,0.5,0.75,E50-P75,70.364,31.542,3.60229100789,43.1148764276,39.5125854197,2.22044604925e-16,True,True
all9,energy_matched,5x5,0.5,0.9,E50-P90,70.364,38.75,3.60229100789,43.1148764276,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.5,0.95,E50-P95,70.364,42.072,3.60229100789,43.1148764276,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.75,0.25,E75-P25,145.791,5.385,2.18427487753,41.6968602972,39.5125854197,2.22044604925e-16,False,True
all9,energy_matched,5x5,0.75,0.5,E75-P50,145.791,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.75,0.75,E75-P75,145.791,31.542,3.71793743656,43.2305228563,39.5125854197,2.22044604925e-16,True,False
all9,energy_matched,5x5,0.75,0.9,E75-P90,145.791,38.75,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,True,False
all9,energy_matched,5x5,0.75,0.95,E75-P95,145.791,42.072,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.9,0.25,E90-P25,216.697,5.385,2.18427487753,41.6968602972,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.9,0.5,E90-P50,216.697,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.9,0.75,E90-P75,216.697,31.542,3.71793743656,43.2305228563,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.9,0.9,E90-P90,216.697,38.75,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.9,0.95,E90-P95,216.697,42.072,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.95,0.25,E95-P25,262.357,5.385,2.18427487753,41.6968602972,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.95,0.5,E95-P50,262.357,19.975,3.53265041074,43.0452358304,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.95,0.75,E95-P75,262.357,31.542,3.71793743656,43.2305228563,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.95,0.9,E95-P90,262.357,38.75,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,False,False
all9,energy_matched,5x5,0.95,0.95,E95-P95,262.357,42.072,3.72662352462,43.2392089443,39.5125854197,2.22044604925e-16,False,False
